彖	彑 bj
歃	千欠 le
歙	亼欠 je
歹	歹 gd
殓	歹一 gf
毁	臼殳 pr
毂	士殳 gr
气	气 vq
氲	气皿 va
汆	入水 jk
汛	氵十 kn
汞	工水 uk
汩	氵曰 ko
沈	氵 kp
沉	氵几 ko
沓	水日 ko
沛	氵巾 kr
泂	氵口 kd
泉	白水 uk
泓	氵厶 kk
泺	氵小 ky
派	氵 kt
浚	氵夊 kh
浟	氵攵 kh
浥	氵巴 km
涅	氵土 kg
涓	氵⺝ kv
涡	氵人 kj
涪	氵口 kd
淄	氵田 kq
淏	氵大 km
淘	氵缶 ka
淹	氵乚 ka
渑	氵黾 kd
温	氵皿 ka
湣	氵日 ko
湮	氵土 kg
溘	氵皿 ka
溚	氵口 kd
溟	氵六 ka
溥	氵寸 kk
溲	氵又 kr
滔	氵臼 kp
滴	氵古 kc
漆	氵氺 kk
漏	氵雨 kt
漪	氵可 kz
漱	氵欠 ke
潏	氵口 kd
潦	氵小 ky
潺	氵子 kh
澍	氵寸 kk
澹	氵言 ks
澼	氵辛 kn
激	氵攵 kh
濩	氵又 kr
濮	氵㇏ ki
瀍	氵土 kg
瀵	氵八 kh
瀹	氵口 kd
灰	𠂇火 nc
灵	彐火 bc
灾	宀火 wc
炔	火人 cj
炱	厶火 kc
炼	火 cy
烁	火小 cy
焆	火⺝ cv
焙	火口 cd
焦	隹灬 uc
焰	火臼 cp
熏	千黑 lp
熜	火心 ch
熬	龶灬 ac
熹	壴灬 hc
燊	火木 ce
燎	火小 cy
燏	火口 cd
燕	廿灬 lc
燮	言又 sr
爚	火口 cd
父	八乂 hb
牵	大牛 mq
犀	尸牛 cq
犬	犬 mq
狴	犭土 mg
狷	犭⺝ mv
狻	犭夊 mh
獒	龶犬 am
獗	犭欠 me
獠	犭小 my
玃	犭又 mr
玉	王丶 ni
玦	王人 nj
玺	丶 xi
琄	王⺝ nv
琛	王木 ne
琶	王巴 nm
瑕	王又 nr
璁	王心 nh
璈	王攵 nh
璨	王米 np
璬	王攵 nh
甘	甘 zg
电	日乚 oa
畜	亠田 zq
畲	人田 jq
疁	田彡 qe
疐	十疋 nt
瘌	疒刂 ap
瘕	疒又 ar
瘙	疒虫 ac
瘛	疒心 ah
瘟	疒皿 aa
瘦	疒又 ar
瘩	疒口 ad
癖	疒辛 an
癜	疒殳 ar
白	白 ub
皑	白己 uv
皞	白十 un
皦	白攵 uh
皴	厶皮 kr
盖	⺷皿 ga
盘	舟皿 ia
眈	目 qp
眢	夕目 lq
眷	丷目 hq
眸	目牛 qq
睽	目大 qm
瞀	予目 iq
瞌	目皿 qa
瞍	目又 qr
瞑	目六 qa
瞥	㡀目 fq
瞭	目小 qy
瞻	目言 qs
矍	目又 qr
知	矢口 od
砉	丰石 am
砻	龙石 tm
砾	石小 my
硇	石乂 mb
碚	石口 md
碟	石木 me
碧	王石 nm
磔	石木 me
磕	石皿 ma
磨	麻石 zm
磬	士石 gm
社	礻土 fg
祁	礻阝 ft
祟	屮示 sf
祭	示 hf
祸	礻人 fj
禋	礻土 fg
福	礻田 fq
禒	礻 fj
秉	禾 xb
穷	穴力 es
穸	穴夕 el
空	穴工 eu
突	穴犬 em
窃	穴刀 ep
窄	穴乍 ew
窅	穴目 eq
窈	穴力 es
窑	穴缶 ea
窒	穴至 ey
窖	穴口 ed
窗	穴夂 eh
窘	穴口 ed
窟	穴凵 em
窠	穴木 ee
窣	穴十 en
窦	穴大 em
窨	穴音 ex
窬	穴刂 ep
窭	穴女 eb
窸	穴心 eh
窿	穴生 el
竑	立厶 ik
竣	立夊 ih
筇	⺮阝 rt
筱	⺮攵 rh
篼	⺮儿 rp
簌	⺮欠 re
簠	⺮皿 ra
簪	⺮曰 ro
簿	⺮寸 rk
籍	⺮日 ro
籥	⺮口 rd
粜	屮米 sp
粟	覀米 vp
糌	米日 po
糵	艹米 lp
紊	文糸 vi
素	龶糸 ai
索	十糸 ni
累	田糸 qi
縠	士殳 gr
縻	麻糸 zi
繇	爫糸 yi
纛	龶糸 ai
纮	纟厶 ik
练	纟 iy
绉	纟彐 ib
绢	纟⺝ iv
绫	纟夊 ih
绳	纟黾 id
绵	纟巾 ir
绺	纟口 id
缀	纟又 ir
缁	纟田 iq
缉	纟耳 iq
缗	纟日 io
缚	纟寸 ik
缫	纟木 ie
缬	纟页 iw
缭	纟小 iy
缴	纟攵 ih
缺	缶人 aj
罂	贝缶 oa
罄	士缶 ga
罨	罒乚 ya
罴	罒灬 yc
罽	罒刂 yp
美	⺷大 gm
羧	⺶夊 gh
羹	⺷大 gm
翃	𠂇羽 nz
翅	支羽 cz
翈	甲羽 sz
翰	十羽 nz
翱	白羽 uz
翼	羽八 zh
翾	罒羽 yz
老	老 ql
者	耂日 qo
耆	老日 qo
耒	耒 al
耷	大耳 mq
聋	龙耳 tq
肉	冂人 mj
肖	⺌⺝ yv
肩	户⺝ mv
肯	止⺝ sv
肱	月厶 vk
育	⺝ bv
肺	月巾 vr
胃	田⺝ qv
脊	冫⺝ wv
脖	月子 vh
脟	月寸 vk
脶	月人 vj
腌	月乚 va
腐	广人 xj
腽	月皿 va
膊	月寸 vk
膝	月氺 vk
臀	尸⺝ cv
臂	尸⺝ cv
自	自 oi
臾	臼人 pj
艘	舟又 ir
芈	芈 gy
芾	艹巾 lr
苑	艹⺋ lz
范	艹⺋ lz
荣	艹木 le
荦	艹牛 lq
荧	艹火 lc
荸	艹子 lh
莜	艹攵 lh
莫	艹大 lm
莴	艹人 lj
莹	艹丶 li
莺	艹鸟 lx
菊	艹米 lp
菌	艹禾 lx
菩	艹口 ld
菪	艹石 lm
菱	艹夊 lh
菹	艹且 lf
萄	艹缶 la
萏	艹臼 lp
萤	艹虫 lc
萦	艹糸 li
葭	艹又 lr
葱	艹心 lh
葵	艹大 lm
葺	艹耳 lq
蒎	艹 lt
蒜	艹示 lf
蒟	艹句 lg
蒴	艹月 lv
蒸	艹灬 lc
蓂	艹六 la
蓄	艹田 lq
蓍	艹日 lo
蓟	艹刂 lp
蓦	艹马 ln
蓰	艹龰 ls
蔌	艹欠 le
蔸	艹儿 lp
蔹	艹攵 lh
蔽	艹攵 lh
蕊	艹心 lh
蕤	艹生 ll
蕨	艹欠 le
蕴	艹皿 la
薄	艹寸 lk
薜	艹辛 ln
薹	艹至 ly
藁	艹木 le
