彖	彑 bj
𤁧	氵齒 kl
𤁫	氵頁 kw
𤁰	氵亍 kw
𤁱	氵示 kf
𤁳	氵言 ks
𤁵	氵口 kd
𤁼	氵米 kp
𤁿	氵⺝ kv
𤂀	氵大 km
𤂁	氵牛 kq
𤂆	氵虎 kz
𤂠	氵厶 kk
𤂤	氵牛 kq
𤂲	氵黄 kn
𤂷	氵⺀ kw
𤂿	氵辶 ku
𤃀	氵氺 kk
𤃨	氵面 kb
𤃪	氵戈 kp
𤃫	氵 kv
𤃭	氵灬 kc
𤃲	氵糸 ki
𤃶	氵豆 kz
𤃺	氵田 kq
𤃼	氵人 kj
𤃽	氵⺝ kv
𤄏	氵糸 ki
𤄒	氵月 kv
𤄔	氵戈 kp
𤄘	氵夊 kh
𤄜	氵田 kq
𤄧	氵言 ks
𤄫	氵田 kq
𤄶	氵木 ke
𤄺	氵辶 ku
𤄼	氵火 kc
𤄽	氵丶 ki
𤅊	氵犬 km
𤅋	氵貝 ko
𤅎	氵頁 kw
𤅑	氵一 kf
𤅒	氵⺗ kh
𤅱	氵皿 ka
𤅲	氵馬 kn
𤅸	氵皿 ka
𤅹	氵大 km
𤆀	氵馬 kn
𤆄	乃火 vc
𤆍	大火 mc
𤆑	火川 co
𤆒	丿灬 tc
𤆜	火三 ct
𤆞	火 ce
𤆟	火 ct
𤆡	火乌 cx
𤆮	火夫 ch
𤆳	火又 cr
𤆵	火巴 cm
𤇜	火民 cd
𤇠	丿灬 tc
𤇯	衣火 tc
𤇴	灬 qc
𤈔	土灬 gc
𤈙	火弓 cb
𤈥	火 cv
𤈦	火毛 cv
𤈧	火殳 cr
𤉍	火牛 cq
𤉏	目灬 qc
𤉐	屮灬 sc
𤉥	夕灬 lc
𤉦	火女 cb
𤉨	戈火 pc
𤉪	火⺀ cw
𤉫	火大 cm
𤊴	火石 cm
𤊵	火卩 cz
𤊶	火刂 cp
𤊻	火目 cq
𤊼	火甘 cz
𤋨	火土 cg
𤋫	火山 cv
𤋭	火日 co
𤋰	黒力 ps
𤌂	火刀 cp
𤌃	火⺼ cv
𤌊	宀灬 wc
𤌋	火鬼 ca
𤌏	火羽 cz
𤌔	冂灬 mc
𤌷	火心 ch
𤍁	㐅灬 bc
𤍒	火木 ce
𤍕	木火 ec
𤍖	火斤 ct
𤍜	火彡 ce
𤍤	火十 cn
𤎄	火灬 cc
𤎋	火十 cn
𤎗	⺿灬 lc
𤎤	火丿 ct
𤎥	白火 uc
𤎲	火里 cd
𤏗	火木 ce
𤏘	火心 ch
𤏲	火目 cq
𤏶	火 cv
𤏸	火日 co
𤏽	火辛 cn
𤐣	火 ca
𤐩	火皿 ca
𤐲	火手 cu
𤑃	 vc
𤑗	木 ve
𤑣	火人 cj
𤑦	火辶 cu
𤑪	灬 hc
𤑳	火 ca
𤑷	火乚 ca
𤒔	火寸 ck
𤒕	氵灬 kc
𤒦	火攵 ch
𤓑	冎灬 fc
𤓔	火大 cm
𤓕	火 pc
𤓚	火灬 cc
𤓝	火口 cd
𤓦	火黑 cp
𤓵	爪夕 yl
𤓾	爫 yb
𤓿	爫又 yr
𤔀	爪又 yr
𤔉	爪田 yq
𤔋	爪コ yn
𤔔	爫又 yr
𤔙	爪爪 yy
𤔣	爫又 yr
𤔫	爫又 yr
𤔶	爪田 yq
𤕀	爫女 yb
𤕇	爫女 yb
𤕒	八可 hz
𤕘	八夊 hh
𤕛	八手 hu
𤕭	爿又 ar
𤕯	爿水 ak
𤕷	爿 aw
𤕾	爿丶 ai
𤖀	爿丰 aa
𤖆	爿戈 ap
𤖇	爿木 ae
𤖒	爿木 ae
𤖓	爿貝 ao
𤖖	爿黃 an
𤖝	爿言 as
𤖞	爿戈 ap
𤖢	爿止 as
𤖦	爿人 aj
𤖪	片也 ae
𤖬	片殳 ar
𤖭	片刀 ap
𤖮	片厶 ak
𤖰	片又 ar
𤖱	片禾 ax
𤖳	片丷 ah
𤖵	片句 ag
𤖷	片皮 ar
𤖺	片刂 ap
𤖻	片夕 al
𤖽	片口 ad
𤖿	片氏 ab
𤗀	片艮 ai
𤗁	片足 ap
𤗃	片甫 an
𤗇	片工 au
𤗈	片女 ab
𤗍	片⺋ az
𤗎	片乚 aa
𤗓	片三 at
𤗘	片 at
𤗛	片丷 ah
𤗜	片又 ar
𤗞	片丁 aa
𤗢	片虎 az
𤗨	片白 au
𤗪	片十 an
𤗬	片女 ab
𤗭	片 an
𤗳	片殳 ar
𤗴	片貝 ao
𤗻	片言 as
𤗾	片田 aq
𤗿	片至 ay
𤘀	片寸 ak
𤘃	片止 as
𤘅	牙子 lh
𤘆	牙牙 ll
𤘇	牙口 ld
𤘊	牙阝 lt
𤘌	牙可 lz
𤘖	牜丁 qa
𤘘	牜口 qd
𤘜	牜尤 qo
𤘝	八牛 hq
𤘠	牜大 qm
𤘡	牜乛 qa
𤘢	牜不 qc
𤘦	牜 qp
𤘧	牛牛 qq
𤘲	牜犬 qm
𤘶	㇒牛 tq
𤘷	牜几 qo
𤘹	牜一 qf
𤘻	牜人 qj
𤘽	牜句 qg
𤘾	牜丷 qh
𤙅	牜巾 qr
𤙇	牜甲 qs
𤙌	牜 qv
𤙎	牜皮 qr
𤙔	牜 qw
𤙕	牜虫 qc
𤙖	亼牛 jq
𤙛	牜 qx
𤙝	牜巴 qm
𤙞	牜土 qg
𤙡	牜辛 qn
𤙤	牜子 qh
𤙩	牜母 qk
𤙭	牜甫 qn
𤙱	牜 qa
𤙴	牜十 qn
𤙽	牜尚 qs
𤙾	牜干 qe
𤚀	牜木 qe
𤚅	厶牛 kq
𤚊	牜木 qe
𤚍	牜虫 qc
𤚎	牜刂 qp
𤚏	牜里 qd
𤚚	牜母 qk
𤚝	牜王 qn
𤚟	牜寸 qk
𤚡	牜又 qr
𤚢	牜巾 qr
𤚣	牜土 qg
𤚤	牜目 qq
𤚨	牜又 qr
𤚩	牜禾 qx
𤚫	牜口 qd
𤚬	牜口 qd
𤚯	牜犬 qm
𤚰	牜方 ql
𤚱	牜 qf
𤚵	牜口 qd
𤛊	牜白 qu
𤛐	牜口 qd
𤛑	牜 qt
𤛛	牜⺝ qv
𤛜	牜刂 qp
𤛝	宀牛 wq
𤛢	牜曰 qo
𤛥	牜黃 qn
𤛦	牜欠 qe
𤛧	牜寸 qk
𤛪	牜老 qq
𤛬	牜貝 qo
𤛮	牜力 qs
𤛲	牜鬼 qa
𤛷	牜口 qd
𤜁	厶心 kh
𤜉	牜女 qb
𤜊	牜言 qs
𤜋	牜言 qs
𤜓	牛𪚴 qw
𤜙	牜人 qj
𤜜	犭力 ms
𤜝	犭几 mo
𤜡	犭阝 mt
𤜣	犭也 me
𤜧	巾犬 rm
𤜫	犭丶 mi
𤜯	犭及 mc
𤜰	犭乛 ma
𤜱	犭巴 mm
𤜷	犭彑 mb
𤜹	犬欠 me
𤜻	犭匕 mv
𤝄	犭毛 mv
𤝅	犭厶 mk
𤝈	犭殳 mr
𤝉	犭予 mi
𤝍	犭日 mo
𤝎	犭水 mk
𤝐	犭ㄅ ma
𤝒	犭凵 mm
𤝓	犭口 md
𤝔	犭寸 mk
𤝕	犭母 mk
𤝖	犭八 mh
𤝘	犭 mn
𤝚	犭丨 mg
𤝛	犭匕 mv
𤝟	弗犬 tm
𤝬	犭一 mf
𤝭	犭匕 mv
𤝰	犭口 md
𤝱	犭大 mm
𤝳	犭丿 mt
𤝸	犭米 mp
𤝹	犭未 ma
𤝻	犭夕 ml
𤝿	犭王 mn
𤞂	犭至 my
𤞇	犭土 mg
𤞈	犭一 mf
𤞉	犭丶 mi
𤞊	犭刂 mp
𤞋	犭十 mn
𤞌	犭七 mr
𤞍	犭凵 mm
𤞗	犭牛 mq
𤞚	犭⺼ mv
𤞞	犭谷 mh
𤞟	犭豆 mz
𤞠	犭木 me
𤞡	犭阝 mt
𤞢	犭⺸ mg
𤞥	犭木 me
𤞰	犭丶 mi
𤞲	犭子 mh
𤞴	犭用 mt
𤞶	犭干 me
𤞿	犭犬 mm
𤟆	犭刂 mp
𤟇	犭火 mc
𤟉	犭干 me
𤟍	犭 me
𤟎	犭凵 mm
𤟖	犭木 me
𤟘	犭氺 mk
𤟚	犭又 mr
𤟝	犭巾 mr
𤟟	犭音 mx
𤟠	犭⺼ mv
𤟣	犭皿 ma
𤟤	犭車 my
𤟥	犭 mt
𤟧	犭心 mh
𤟷	犭止 ms
𤟸	犭攵 mh
𤟼	犭言 ms
𤟾	犭巾 mr
𤟿	犭一 mf
𤠇	犭革 mt
𤠌	犭木 me
𤠍	犭殳 mr
𤠓	犭大 mm
𤠖	犭高 mg
𤠘	犭虫 mc
𤠙	犭可 mz
𤠚	犭糸 mi
𤠛	犭 mo
𤠝	犭工 mu
𤠫	犭木 me
𤠭	犭寸 mk
𤠯	犭口 md
𤠶	犭 mh
𤠺	犭 mu
𤠽	犭小 my
𤠿	犭土 mg
𤡂	犭糸 mi
𤡆	犭龰 ms
𤡇	犭毛 mv
𤡐	犭曰 mo
𤡔	犭木 me
𤡕	犭鳥 mx
𤡖	犭辶 mu
𤡟	犭心 mh
𤡡	犭亾 mf
𤡣	犭 mc
𤡤	犭而 ml
𤡥	犭月 mv
𤡨	犭糸 mi
𤡪	犭⺼ mv
𤡬	犭豆 mz
𤡭	犭彡 me
𤡯	犭灬 mc
𤡰	犭王 mn
𤡱	犭貝 mo
𤡲	犭廾 ml
𤡳	犭攵 mh
𤡶	犭十 mn
𤢀	犭口 md
𤢁	犭 mp
𤢂	犭米 mp
𤢄	犭攵 mh
𤢊	犭各 ms
𤢎	犭田 mq
𤢏	犭一 mf
𤢗	犭田 mq
𤢘	犭糸 mi
𤢨	犭高 mg
𤢭	犭豕 mj
𤢮	犭犬 mm
𤢴	犭木 me
𤢵	犭⽱ mv
𤢶	犭弓 mb
𤢺	犭頁 mw
𤢼	犭辶 mu
𤣃	犭日 mo
𤣌	犭子 mh
𤣎	犭女 mb
𤣘	冖日 wo
𤣙	犭攵 mh
𤣞	犭黑 mp
𤣟	犭見 me
𤣨	亠亾 zf
𤣮	王乙 na
𤣰	王土 ng
𤣶	王山 nv
𤣸	王 nb
𤣹	王丿 nt
𤣻	王又 nr
𤤊	王刀 np
𤤐	王丶 ni
𤤦	王田 nq
𤤧	王由 nd
𤤫	王卜 ny
𤤬	王力 ns
𤤮	王⺀ nw
𤤱	王又 nr
𤤲	王几 no
𤤸	王木 ne
𤤺	王丿 nt
𤥒	王西 nv
𤥙	王又 nr
𤥭	王車 ny
𤥮	王口 nd
𤥽	王⺀ nw
𤦄	王乚 na
𤦤	王儿 np
𤦦	王王 nn
𤦪	王日 no
𤦮	王口 nd
𤧘	王日 no
𤧙	王人 nj
𤧜	王丿 nt
𤧠	王虫 nc
𤧣	王廴 nu
𤧫	王辶 nu
𤧭	王方 nl
𤨍	王力 ns
𤨎	王豕 nj
𤨐	爫丶 yi
𤨖	王巴 nm
𤨗	⺊丶 yi
𤨶	王氺 nk
𤩂	王力 ns
𤩩	王一 nf
𤩪	王 nw
𤩭	王虎 nz
𤩮	王殳 nr
𤩲	王亾 nf
𤪄	王乚 na
𤪆	王牛 nq
𤪋	臣丶 qi
𤪌	王糸 ni
𤪪	王 nj
𤪮	王土 ng
𤫝	王止 ns
𤫞	王貝 no
𤫧	王一 nf
𤫨	王鬲 nn
𤫬	瓜丰 ya
𤫵	瓜舌 ya
𤫶	士瓜 gy
𤫺	瓜糸 yi
𤬁	田瓜 qy
𤬕	瓜 yo
𤬖	糸 vi
𤬧	瓦十 rn
𤬨	瓦丶 ri
𤬭	不瓦 cr
𤬯	瓦乛 ra
𤬱	瓦 re
𤭈	儿瓦 pr
𤭉	亡瓦 fr
𤭑	五瓦 wr
𤭙	瓦口 rd
𤭢	亠瓦 zr
𤭽	屮瓦 sr
𤮆	虍瓦 zr
𤮊	广瓦 xr
𤮌	瓦女 rb
𤮍	瓦寸 rk
𤮐	丷瓦 hr
𤮘	瓦 hr
𤮧	虍瓦 zr
𤮼	弋甘 pz
𤮽	甘干 ze
𤯄	甘氏 zb
𤯇	甘火 zc
𤯐	甘臼 zp
𤯚	不生 cl
𤯜	生力 ls
𤯷	爫生 yl
𤯸	生力 ls
𤯻	生豕 lj
𤰂	生一 lf
𤰈	卝用 lt
𤰌	用用 tt
𤰟	田干 qe
𤰠	田干 qe
𤰡	亡田 fq
𤰪	田刀 qp
𤰬	田丿 qt
𤰳	一田 fq
𤱃	田木 qe
𤱅	田人 qj
𤱆	田又 qr
𤱌	田且 qf
𤱍	田皮 qr
𤱎	田力 qs
𤱐	田疋 qt
𤱛	田禾 qx
𤱜	禾田 xq
𤱟	田凵 qm
𤱠	田口 qd
𤱡	龴也 ke
𤱣	冂甲 ms
𤱧	田木 qe
𤱨	田八 qh
𤱩	田 qw
𤱹	巛丁 oa
𤱽	巛夫 oh
𤱾	巛人 oj
𤲉	田日 qo
𤲓	田人 qj
𤲕	田侖 qj
𤲖	田⺗ qh
𤲚	田日 qo
𤲨	田⺋ qz
𤲩	田火 qc
𤲭	田田 qq
𤲰	甲目 sq
𤲶	田力 qs
𤲺	田大 qm
𤳃	由大 dm
𤳅	甲甲 ss
𤳉	田夫 qh
𤳊	巛干 oe
𤳎	田貝 qo
𤳓	歹八 gh
𤳖	丿厶 tk
𤳘	日豆 oz
𤳠	田日 qo
𤳤	巛大 om
𤳯	巛灬 oc
𤳳	田田 qq
𤳴	田可 qz
𤳵	甲甲 ss
𤴓	 ts
𤴥	疒乙 aa
𤴦	疒九 ak
𤴨	疒又 ar
𤴪	疒几 ao
𤴯	疒丶 ai
𤴻	疒犬 am
𤴼	疒欠 ae
𤴽	疒乛 aa
𤴾	疒斤 at
𤵂	疒心 ah
𤵊	疒 as
𤵎	疒几 ao
𤵐	疒 ae
𤵒	疒文 av
𤵘	疒丿 at
𤵛	疒一 af
𤵝	疒母 ak
𤵞	疒土 ag
𤵠	疒卯 ab
𤵥	疒禾 ax
𤵦	疒乚 aa
𤵭	疒甲 as
𤵮	疒火 ac
𤵯	疒 ao
𤵹	疒口 ad
𤵻	疒儿 ap
𤵼	疒口 ad
𤵽	疒乂 ab
𤵾	疒七 ar
𤶀	疒乂 ab
𤶁	疒老 aq
𤶈	疒西 av
𤶋	疒巴 am
𤶓	疒日 ao
𤶕	疒口 ad
𤶖	疒子 ah
𤶘	疒言 as
𤶛	疒巴 am
𤶜	疒士 ag
𤶠	疒 ax
𤶤	疒又 ar
𤶰	疒皿 aa
𤶱	疒丨 ag
𤶲	疒王 an
𤶳	疒口 ad
𤶴	疒身 az
𤷀	疒王 an
𤷁	疒土 ag
𤷂	疒巴 am
𤷃	疒戈 ap
𤷄	疒⺋ az
𤷅	疒儿 ap
𤷆	疒日 ao
𤷍	疒 ah
𤷑	疒口 ad
𤷒	疒十 an
𤷓	疒欠 ae
𤷔	疒侖 aj
𤷕	疒木 ae
𤷘	疒十 an
𤷟	疒立 ai
𤷡	疒虎 az
𤷢	疒 ah
𤷤	疒⺝ av
𤷦	疒小 ay
𤷹	疒殳 ar
𤷼	疒目 aq
𤷽	疒卩 az
𤸀	疒⺼ av
𤸆	疒韋 ag
𤸈	疒酉 ay
𤸊	疒心 ah
𤸎	疒亾 af
𤸏	疒示 af
𤸑	疒夊 ah
𤸓	疒攵 ah
𤸕	疒辶 au
𤸖	疒口 ad
𤸗	疒犬 am
𤸡	疒大 am
𤸤	疒 aq
𤸪	疒手 au
𤸫	疒貝 ao
𤸮	疒⺼ av
𤸯	疒木 ae
𤸲	疒灬 ac
𤸳	疒豆 az
𤸴	疒糸 ai
𤸷	疒巾 ar
𤸸	疒皿 aa
𤸹	疒刂 ap
𤸼	疒烏 ax
𤹈	疒几 ao
𤹊	疒虫 ac
𤹋	疒民 ad
𤹌	疒巾 ar
𤹎	疒灬 ac
𤹛	疒心 ah
𤹜	疒口 ad
𤹝	疒 au
𤹢	疒而 al
𤹣	疒 an
𤹤	疒氺 ak
𤹧	疒丁 aa
𤹨	疒辶 au
𤹪	疒口 ad
𤹵	疒寸 ak
𤹷	疒鳥 ax
𤺀	疒衣 at
𤺄	疒里 ad
𤺇	疒 ai
𤺉	疒灬 ac
𤺊	疒斤 at
𤺌	疒豆 az
𤺎	疒灬 ac
𤺏	疒田 aq
𤺐	疒亾 af
𤺓	疒攵 ah
𤺔	疒貝 ao
𤺕	疒貝 ao
𤺖	疒文 av
𤺪	疒口 ad
𤺺	疒一 af
𤺼	疒力 as
𤺾	疒大 am
𤻃	疒日 ao
𤻄	疒辶 au
𤻅	疒夂 ah
𤻆	疒頁 aw
𤻇	疒疋 at
𤻌	疒辶 au
𤻖	疒丌 al
𤻜	疒皿 aa
𤻝	疒丁 aa
𤻢	疒又 ar
𤻤	疒止 as
𤻦	疒戈 ap
𤻱	疒心 ah
𤻶	疒 ai
𤻷	疒皿 aa
𤼀	疒禾 ax
𤼁	疒目 aq
𤼂	疒心 ah
𤼃	疒龍 at
𤼅	疒口 ad
𤼌	疒八 ah
𤼗	疒足 ap
𤼘	疒丶 ai
𤼚	疒虫 ac
𤼢	疒欠 ae
𤼳	癶 hu
𤼶	癶力 hs
𤼺	癶殳 hr
𤽁	白十 un
𤽃	白川 uo
𤽅	白儿 up
𤽉	白刀 up
𤽊	白匕 uv
𤽣	心白 hu
𤽥	白各 us
𤽦	白缶 ua
𤽱	白足 up
𤽲	白力 us
𤽳	白日 uo
𤽹	白十 un
𤽺	白氺 uk
𤽿	白心 uh
𤾅	白非 ur
𤾈	白車 uy
𤾑	白甘 uz
𤾛	白示 uf
𤾝	白⿇ uz
𤾠	白十 un
𤾢	白豆 uz
𤾥	白曰 uo
𤾬	白豕 uj
𤾭	白曰 uo
𤾵	白廾 ul
𤾺	白十 un
𤿀	白貝 uo
𤿅	白人 uj
𤿆	皮丁 ra
𤿇	皮刀 rp
𤿈	勹皮 nr
𤿋	皮丿 rt
𤿒	皮入 rj
𤿗	皮木 re
𤿨	⺌皮 yr
𤿭	皮甫 rn
𥀖	皮口 rd
𥀛	皮曰 ro
𥀝	皮白 ru
𥀠	皮貝 ro
𥀥	⺿皮 lr
𥀫	皮 tr
𥀭	皮而 rl
𥀲	皮貝 ro
𥀹	卝皮 lr
𥁕	囗皿 ra
𥁡	氵皿 ka
𥂂	予皿 ia
𥂃	彳皿 wa
𥂓	⿇皿 za
𥂢	龶皿 aa
𥂧	酉皿 ya
𥂨	羽皿 za
𥂵	氵皿 ka
𥃔	皿 pa
𥃠	魚皿 wa
𥃤	目乚 qa
𥃧	目丩 qi
𥃨	目卜 qy
𥃩	目匕 qv
𥃪	目十 qn
𥃫	目又 qr
𥃵	目丶 qi
𥃸	目也 qe
𥃹	目川 qo
𥃺	目儿 qp
𥃽	目工 qu
𥃾	目土 qg
𥃿	目工 qu
𥄁	目乂 qb
𥄋	目入 qj
𥄍	目 qp
𥄑	目夫 qh
𥄒	目 qv
𥄖	目十 qn
𥄛	目予 qi
𥄝	目山 qv
𥄦	目几 qo
𥄴	目 qe
𥄶	目口 qd
𥄷	目コ qn
𥄸	目卯 qb
𥄹	目巳 qv
𥄻	目匕 qv
𥄼	目瓜 qy
𥄽	弋目 pq
𥅁	目乍 qw
𥅔	目一 qf
𥅗	目皮 qr
𥅘	目小 qy
𥅞	目工 qu
𥅟	目乂 qb
𥅠	目口 qd
𥅡	目而 ql
𥅦	目⽾ qa
𥅧	目皿 qa
𥅨	目一 qf
𥅪	目攵 qh
𥅬	目云 qb
𥅺	目巴 qm
𥅻	目儿 qp
𥆆	目 qo
𥆌	目用 qt
𥆑	目廴 qu
𥆔	目子 qh
𥆖	目豆 qz
𥆘	目貝 qo
𥆙	目彡 qe
𥆚	目王 qn
𥆜	目王 qn
𥆟	目儿 qp
𥆡	目口 qd
𥆥	目走 qp
𥆦	目王 qn
𥆯	目土 qg
𥆶	目手 qu
𥆸	目人 qj
𥇄	目目 qq
𥇆	目㇗ qa
𥇇	目丿 qt
𥇉	目儿 qp
𥇍	目十 qn
𥇎	目小 qy
𥇑	目兩 qm
𥇒	目女 qb
𥇓	目疋 qt
𥇔	目長 qp
𥇕	目刂 qp
𥇗	目由 qd
𥇚	目可 qz
𥇜	目子 qh
𥇞	目土 qg
𥇭	目口 qd
𥇯	目 qe
𥇰	目心 qh
𥇱	目木 qe
𥇳	目巾 qr
𥈄	龷目 lq
𥈆	目目 qq
𥈉	目大 qm
𥈋	目⽱ qv
𥈒	目廾 ql
𥈓	目口 qd
𥈗	目頁 qw
𥈙	目刂 qp
𥈮	目方 ql
𥈻	目土 qg
𥈾	目目 qq
𥈿	目貝 qo
𥉄	目 qf
𥉅	目鬲 qn
𥉈	目⺝ qv
𥉊	目馬 qn
𥉋	目氺 qk
𥉐	目大 qm
𥉓	目皿 qa
𥉖	目心 qh
𥉘	目虎 qz
𥉙	目日 qo
𥉜	目禾 qx
𥉟	目殳 qr
𥉰	目臼 qp
𥉴	目山 qv
𥉶	目 qx
𥉷	目小 qy
𥉸	目土 qg
𥉺	目至 qy
𥉻	目示 qf
𥉼	目木 qe
𥉽	目氺 qk
𥊀	目彡 qe
𥊈	目木 qe
𥊊	目十 qn
𥊑	目又 qr
𥊒	目辶 qu
𥊔	目口 qd
𥊪	目灬 qc
𥊫	目貝 qo
𥊬	目戈 qp
𥊭	目寸 qk
𥊯	目糸 qi
𥊴	目又 qr
𥊶	目灬 qc
𥊸	目心 qh
𥊼	目牙 ql
𥊽	罒𢎨 yt
𥊿	目又 qr
𥋁	目戈 qp
𥋌	目攵 qh
𥋙	目八 qh
𥋛	目虫 qc
𥋝	目黾 qd
𥋟	目戈 qp
𥋡	目弓 qb
𥋣	目貝 qo
𥋮	目言 qs
𥋿	目 qc
𥌀	目示 qf
𥌁	目灬 qc
𥌂	目方 ql
𥌆	目寸 qk
𥌏	六 ca
𥌘	目目 qq
𥌚	目貝 qo
𥌛	目氺 qk
𥌞	目大 qm
𥌤	目氺 qk
𥌩	目心 qh
𥌭	目糸 qi
𥌮	目止 qs
𥌯	目瓦 qr
𥌰	目辶 qu
𥌺	目口 qd
𥌻	目丷 qh
𥌽	目女 qb
𥌾	目心 qh
𥌿	目氺 qk
𥍆	目又 qr
𥍉	目耳 qq
𥍓	目攵 qh
𥍚	目攵 qh
𥍞	予丶 ii
𥍟	予殳 ir
𥍣	予ㄅ ia
𥍨	予⺋ iz
𥍪	予豸 im
𥍫	予艮 ii
𥍭	予斤 it
𥍮	予丰 ia
𥍱	予口 id
𥍲	予入 ij
𥍳	予土 ig
𥍴	予 ie
𥍸	予也 ie
𥍹	予廴 iu
𥍼	予大 im
𥎀	予頁 iw
𥎂	予耳 iq
𥎃	予米 ip
𥎆	予口 id
𥎈	予酉 iy
𥎊	予龶 ia
𥎍	予貝 io
𥎎	予牛 iq
𥎒	予心 ih
𥎖	予 if
𥎗	予 ih
𥎘	予而 il
𥎛	予貝 io
𥎟	予十 in
𥎢	予灬 ic
𥎤	予火 ic
𥎮	矢又 or
𥎰	矢厶 ok
𥎸	矢幺 oi
𥎹	矢至 oy
𥎺	矢 ow
𥏄	矢白 ou
𥏅	矢十 on
𥏊	矢羽 oz
𥏎	矢廴 ou
𥏒	矢口 od
𥏕	矢厶 ok
𥏖	矢矢 oo
𥏘	矢凵 om
𥏙	矢⺋ oz
𥏜	矢可 oz
𥏝	矢 oc
𥏠	矢十 on
𥏤	矢ㄅ oa
𥏥	矢十 on
𥏨	矢口 od
𥏪	矢白 ou
𥏮	矢音 ox
𥏯	矢十 on
𥏹	矢高 og
𥐀	矢斤 ot
𥐂	⺊⽱ yv
𥐊	矢攵 oh
𥐑	矢女 ob
𥐕	石乚 ma
𥐙	石 mh
𥐚	石卜 my
𥐞	石亡 mf
𥐬	石气 mv
𥐹	石井 mq
𥐽	石毛 mv
𥐿	石斗 mj
𥑅	石九 mk
𥑇	石夫 mh
𥑏	石 mb
𥑐	石甲 ms
𥑑	石力 ms
𥑔	石瓜 my
𥑢	石巾 mr
𥑣	石 mz
𥑥	石生 ml
𥑪	石㇗ ma
𥑫	石穴 me
𥑰	石工 mu
𥑳	石𠂇 mn
𥑴	石衣 mt
𥑶	石⽾ ma
𥑸	石舟 mi
𥑹	石ㄅ ma
𥑻	石儿 mp
𥑽	石巴 mm
𥑾	石廾 ml
𥑿	石⺝ mv
𥒁	石川 mo
𥒓	石至 my
𥒗	石厶 mk
𥒘	石日 mo
𥒛	石厶 mk
𥒞	石羊 mg
𥒡	石一 mf
𥒧	石龰 ms
𥒨	石⺗ mh
𥒫	石子 mh
𥒬	石木 me
𥒭	石足 mp
𥒮	石毛 mv
𥒰	石甫 mn
𥒱	石彡 me
𥒲	石矢 mo
𥒳	宀几 wo
𥒵	石巴 mm
𥒶	石糸 mi
𥒾	石口 md
𥓆	石石 mm
𥓈	石十 mn
𥓌	石儿 mp
𥓍	⺊石 ym
𥓑	石刂 mp
𥓖	石木 me
𥓬	至石 ym
𥓰	石弓 mb
𥓿	石⺼ mv
𥔀	石言 ms
𥔂	石一 mf
𥔄	石工 mu
𥔊	石至 my
𥔡	石日 mo
𥔢	石人 mj
𥔣	石女 mb
𥔩	石石 mm
𥔪	石川 mo
𥔮	石文 mv
𥔯	石辶 mu
𥔱	石羽 mz
𥔻	礻石 fm
𥕀	石羽 mz
𥕂	石⺝ mv
𥕇	石乂 mb
𥕉	石日 mo
𥕍	石女 mb
𥕎	石氺 mk
𥕓	石大 mm
𥕖	石阝 mt
𥕘	石木 me
𥕙	石石 mm
𥕣	石寸 mk
𥕰	石 mc
𥕱	石彡 me
𥕲	石欠 me
𥕵	石攵 mh
𥕶	石斤 mt
𥕸	石又 mr
𥕹	石毛 mv
𥕻	石灬 mc
𥕼	石酉 my
𥕾	石㡀 mf
𥖘	石戈 mp
𥖙	石戈 mp
𥖜	石示 mf
𥖝	石 mc
𥖠	石虫 mc
𥖶	石貝 mo
𥖻	石攵 mh
𥖼	石心 mh
𥖾	石辶 mu
𥖿	石貝 mo
𥗀	石彡 me
𥗁	石日 mo
𥗊	石齒 ml
𥗒	石見 me
𥗓	石貝 mo
𥗙	石子 mh
𥗝	石一 mf
𥗦	石里 md
𥗬	石土 mg
𥗮	石欠 me
𥗺	石丷 mh
𥘄	石彡 me
𥘊	礻丩 fi
𥘋	礻力 fs
𥘌	礻几 fo
𥘏	礻干 fe
𥘒	礻弋 fp
𥘠	礻龷 fl
𥘡	礻彑 fb
𥘤	礻丿 ft
𥘥	礻廾 fl
𥘫	礻可 fz
𥘬	礻弗 ft
𥘮	礻句 fg
𥙀	礻工 fu
𥙆	礻幺 fi
𥙇	礻匕 fv
𥙉	礻口 fd
𥙋	礻凵 fm
𥙡	礻亠 fz
𥙣	礻日 fo
𥙨	礻木 fe
𥙬	礻⺼ fv
𥙰	礻土 fg
𥙾	礻乃 fv
𥙿	礻谷 fh
𥚉	礻田 fq
𥚚	礻虎 fz
𥚛	礻匕 fv
𥚠	礻子 fh
𥚩	礻⺼ fv
𥚿	礻女 fb
𥛂	礻⺝ fv
𥛅	礻田 fq
𥛑	礻寸 fk
𥛘	礻 fu
𥛝	礻辶 fu
𥛞	礻 fx
𥛟	礻見 fe
𥛥	礻寸 fk
𥛧	礻糸 fi
𥛨	礻龰 fs
𥛩	礻人 fj
𥛪	礻厶 fk
𥛫	礻木 fe
𥛱	示 hf
𥜌	礻大 fm
𥜏	礻灬 fc
𥜐	礻黽 fd
𥜒	礻犬 fm
𥜓	礻皿 fa
𥜚	礻夂 fh
𥜥	礻八 fh
𥜬	礻王 fn
𥜭	礻日 fo
𥜮	礻口 fd
𥜰	礻 fx
𥜲	礻虫 fc
𥜵	礻又 fr
𥜶	礻夊 fh
𥝀	丿也 te
𥝍	禾一 xf
𥝒	禾卜 xy
𥝔	禾㇀ xf
𥝕	禾亡 xf
